state_id,legacy_class,corrected_class,legacy_P_base,corrected_P_base,legacy_M2_base,corrected_M2_base,absolute_M2_difference,relative_M2_difference,scientific_consequence
c000_s2_00055,WIDEN,REFERENCE_AMBIGUOUS,,0.06840453850328984,12.789119202941922,0.7777648011552625,-12.01135440178666,-0.9391854287372385,class_changed
c000_s2_00070,WIDEN,REFERENCE_AMBIGUOUS,,0.06827070747222186,9.118345767699747,0.14969150531057845,-8.968654262389169,-0.9835834800385793,class_changed
c000_s2_00085,WIDEN,REFERENCE_AMBIGUOUS,,0.06713940814166788,7.80738233186004,0.07076855745446417,-7.736613774405576,-0.9909356869631355,class_changed
c000_s2_00100,WIDEN,REFERENCE_AMBIGUOUS,,0.06810979911533052,6.835253072179697,0.05009242381705985,-6.785160648362637,-0.9926714602534701,class_changed
c000_s2_00125,WIDEN,WIDEN,,0.06752786359220628,5.764643558345939,0.04030909372674145,-5.724334464619197,-0.9930075305925233,class_retained
c000_s2_00160,WIDEN,WIDEN,,0.06751603394045007,5.168558316710902,0.03489193502016902,-5.133666381690733,-0.9932491938985467,class_retained
c000_s2_00200,WIDEN,WIDEN,,0.06755661526408394,4.740569732875385,0.032164925044310386,-4.708404807831075,-0.9932149663739255,class_retained
c001_s2_00070,WIDEN,REFERENCE_AMBIGUOUS,,0.08732287244833684,10.289374927723244,0.4508563127930244,-9.83851861493022,-0.9561823418856809,class_changed
c000_s2_00400,SHRINK,SHRINK,,0.06694535712972526,4.598894960128627,0.030679400282204415,-4.568215559846422,-0.9933289625990183,class_retained
c000_s2_00500,SHRINK,SHRINK,,0.06718544570500214,4.797642046733064,0.032119045011897225,-4.765523001721167,-0.9933052435552652,class_retained
c000_s2_00640,SHRINK,SHRINK,,0.06760040172490597,5.123222385136428,0.034650851721913054,-5.088571533414515,-0.9932365122735171,class_retained
c000_s2_00800,SHRINK,SHRINK,,0.06795735776113612,5.47700583493346,0.03756828012399348,-5.439437554809467,-0.9931407266568213,class_retained
c001_s2_00400,SHRINK,HOLD,,0.08921940286385822,4.6690976666299555,0.059011890468637605,-4.610085776161318,-0.9873611788225387,class_changed
c001_s2_00500,SHRINK,SHRINK,,0.08938370797257787,4.851252505055857,0.060432160749525086,-4.790820344306332,-0.987542977677096,class_retained
c001_s2_00640,SHRINK,SHRINK,,0.08911992303008145,5.25615865420758,0.06325493962403952,-5.19290371458354,-0.9879655573993369,class_retained
c001_s2_00800,SHRINK,SHRINK,,0.0889730566670375,5.668988897703409,0.06684481423182985,-5.602144083471579,-0.9882086884560826,class_retained
c000_s2_00320,HOLD,HOLD,,0.06732603033783939,4.512349539620621,0.030338265443826902,-4.482011274176793,-0.993276614504829,class_retained
c001_s2_00320,HOLD,REFERENCE_AMBIGUOUS,,0.0889927460282551,4.545125585319278,0.059469091258891695,-4.485656494060386,-0.9869158530072356,class_changed
c004_s2_00250,HOLD,WIDEN,,0.09245575052629487,4.225103191697292,0.11042352251849781,-4.114679669178794,-0.9738648933508914,class_changed
c006_s2_00250,HOLD,WIDEN,,0.0951027428491423,7.819358726719774,0.3661877259121743,-7.4531710008076,-0.9531690847408161,class_changed
c006_s2_00320,HOLD,REFERENCE_AMBIGUOUS,,0.0967371729232218,7.954939717424445,0.38460985468951764,-7.570329862734927,-0.9516514432099251,class_changed
c007_s2_00250,HOLD,REFERENCE_AMBIGUOUS,,0.08638437581506067,8.108297402927464,0.14783261850947813,-7.960464784417986,-0.9817677360408482,class_changed
c007_s2_00320,HOLD,HOLD,,0.08617345055918404,8.238762680948208,0.14676619205353778,-8.09199648889467,-0.9821858939579692,class_retained
c010_s2_00320,HOLD,WIDEN,,0.09672078644767211,4.181413776313033,0.08580984636769692,-4.0956039299453355,-0.9794782695618897,class_changed
