candidate_index,state_id,config_id,s2,original_stratum,discovery_class,confirmation_class,widen_ratio_over_base,shrink_ratio_over_base,widen_minus_base_m2,widen_paired_se,widen_support_ratio_abs_delta_over_2se,shrink_minus_base_m2,shrink_paired_se,shrink_support_ratio_abs_delta_over_2se,widen_support,shrink_support,direction_margin,discovery_ambiguity_reason,confirmation_ambiguity_reason,p_ref_full,p_ref_full_se,minimum_arm_ess,hold_proximity_score_diagnostic_only,distance_to_widen_improvement_boundary,distance_to_shrink_improvement_boundary,hold_window_min_slack
14,c001_s2_00400,m1d_b20260827_c001,4.0,G-H,HOLD,HOLD,0.008932800898303173,0.005537042730721531,0.000538640604505269,0.0007523927259081107,0.3579517623958614,0.00033387915812763504,0.0008191512628325453,0.2037957903971932,False,False,0.005537042730721488,,,0.089218,0.0002901212087894881,13204.679534990843,0.008932800898303173,0.018932800898303175,0.015537042730721531,0.021067199101696826
36,c007_s2_00125,m1d_b20260827_c007,1.25,G-W,HOLD,HOLD,-0.009736553894542865,0.00047705824860910795,-0.001835320530807262,0.0015038825843157668,0.6101940902661268,8.992450589260376e-05,0.0006998485174207121,0.06424569292796392,False,False,-0.009736553894542895,,,0.08674899999999999,0.00036007740395935066,4126.163840872062,0.009736553894542865,0.00026344610545713486,0.010477058248609108,0.020263446105457134
51,c010_s2_00500,m1d_b20260827_c010,5.0,G-S,HOLD,HOLD,0.012811736450210054,0.029573930444085628,0.0009863979025543771,0.0016218321846766706,0.30409986676612477,0.0022769484116149565,0.0017350065550987622,0.6561786193036444,False,False,0.012811736450210108,,,0.096929,0.000244516601524421,11835.203266795776,0.029573930444085628,0.022811736450210056,0.03957393044408563,0.00042606955591437123
