metric,legacy,corrected,absolute_difference,relative_difference,scientific_consequence
active_fraction,0.96875,0.578125,-0.390625,-0.4032258064516129,fewer confident actions
acc_dir,0.7903225806451613,0.8648648648648649,0.07454228421970366,0.094318808604523,accuracy remains above gate
median_M2_pred_over_base,0.8457428002772496,0.8564014991181417,0.0106586988408921,0.012602766275276584,local step still improves M2
median_M2_pred_over_opposite,0.7206701552258015,0.734232084928298,0.013561929702496478,0.01881849776094479,counterfactual ordering survives
median_deployable_vrf,0.3256915357089897,0.29963690063396287,-0.02605463507502681,-0.07999788824204207,strong cost gate remains not passed
