config_id,state_id,s2,corrected_class,p_ref_full,class_certainty_score,minimum_arm_ESS,event_definition_id,event_semantics_schema_version,seed_key,sample_count_per_arm,ambiguity_or_invalid_reason
m1d_b20260827_c001,c001_s2_00250,2.5,WIDEN,0.089218,3.494966775798541,56041.81826603517,FULL_TOPOLOGY_EVENT_S1_S4,2,"[3202002, 12]",500000,
m1d_b20260827_c001,c001_s2_00200,2.0,WIDEN,0.089218,3.856604527431983,44960.49906356655,FULL_TOPOLOGY_EVENT_S1_S4,2,"[3202002, 11]",500000,
m1d_b20260827_c010,c010_s2_00250,2.5,WIDEN,0.096929,4.163850880433365,44458.351675841834,FULL_TOPOLOGY_EVENT_S1_S4,2,"[3202002, 48]",500000,
m1d_b20260827_c020,c020_s2_00250,2.5,WIDEN,0.11257399999999998,2.8565563181863554,49938.65614513951,FULL_TOPOLOGY_EVENT_S1_S4,2,"[3202002, 66]",500000,
m1d_b20260827_c006,c006_s2_00125,1.25,AMBIGUOUS,0.09542,,8335.354210552552,FULL_TOPOLOGY_EVENT_S1_S4,2,"[3202002, 27]",500000,unsupported_required_contrast
m1d_b20260827_c006,c006_s2_00800,8.0,AMBIGUOUS,0.09542,,13667.443390115257,FULL_TOPOLOGY_EVENT_S1_S4,2,"[3202002, 35]",500000,unsupported_required_contrast
m1d_b20260827_c000,c000_s2_00400,4.0,SHRINK,0.067063,0.4549867646581504,71033.53862836523,FULL_TOPOLOGY_EVENT_S1_S4,2,"[3202002, 5]",500000,
m1d_b20260827_c010,c010_s2_00800,8.0,SHRINK,0.096929,1.2699690155517642,55529.65092447426,FULL_TOPOLOGY_EVENT_S1_S4,2,"[3202002, 53]",500000,
